교재,레벨,구간,Chapter,영어,뜻
절대수능-map,Basic,Basic1,5,scientific,과학적인
절대수능-map,Basic,Basic1,5,affect,영향을 미치다
절대수능-map,Basic,Basic1,5,recently,최근에
절대수능-map,Basic,Basic1,5,equipment,"장비, 장치"
절대수능-map,Basic,Basic1,5,strike,강타하다
절대수능-map,Basic,Basic1,5,inherently,"본질적으로, 고유하게"
절대수능-map,Basic,Basic1,5,tackle,(공을 가진 상대를) 태클하다 
절대수능-map,Basic,Basic1,5,hinder,방해하다
절대수능-map,Basic,Basic1,5,treatment,치료
절대수능-map,Basic,Basic1,5,apply,"적용되다, 적용하다"
절대수능-map,Basic,Basic1,5,release,방출하다
절대수능-map,Basic,Basic1,5,device ,"장치, 기기"
절대수능-map,Basic,Basic1,5,reliable,믿을 수 있는
절대수능-map,Basic,Basic1,5,demonstration,"설명, 입증"
절대수능-map,Basic,Basic1,5,perseverance,인내
절대수능-map,Basic,Basic1,5,literature,문학
절대수능-map,Basic,Basic1,5,server,종업원
절대수능-map,Basic,Basic1,5,innovative,혁신적인
절대수능-map,Basic,Basic1,5,establish,"(제도, 법률 등을) 제정하다"
절대수능-map,Basic,Basic1,5,affirmative,"긍정적인, 확언의"
절대수능-map,Basic,Basic1,5,toxic,유독성의
절대수능-map,Basic,Basic1,5,attainment,성취
절대수능-map,Basic,Basic1,5,reed,갈대
절대수능-map,Basic,Basic1,5,detective ,"탐정, 형사"
절대수능-map,Basic,Basic1,5,modify,수정하다 
절대수능-map,Basic,Basic1,5,draw,끌다
절대수능-map,Basic,Basic1,5,seriousness,심각함
절대수능-map,Basic,Basic1,5,equation,방정식
절대수능-map,Basic,Basic1,5,depict,"그리다, 묘사하다"
절대수능-map,Basic,Basic1,5,explorer,탐험가
절대수능-map,Basic,Basic1,5,ban,금지하다
절대수능-map,Basic,Basic1,5,mark,나타내다
절대수능-map,Basic,Basic1,5,successfully,성공적으로 
절대수능-map,Basic,Basic1,5,symptom,증상
절대수능-map,Basic,Basic1,5,import,수입
절대수능-map,Basic,Basic1,5,ancient,고대의 
절대수능-map,Basic,Basic1,5,fur,털
절대수능-map,Basic,Basic1,5,penalty,(축구 등에서) 패널티킥
절대수능-map,Basic,Basic1,5,outbreak,"(전쟁, 사고, 질병 등의) 발생"
절대수능-map,Basic,Basic1,5,research,"연구, 조사 "
절대수능-map,Basic,Basic1,5,example ,"예, 예시"
절대수능-map,Basic,Basic1,5,struggle,"분투, 힘든 것(일)"
절대수능-map,Basic,Basic1,5,frozen,"냉동의, 얼린"
절대수능-map,Basic,Basic1,5,captivate,사로잡다
절대수능-map,Basic,Basic1,5,theory,이론
절대수능-map,Basic,Basic1,5,habitat,서식지
절대수능-map,Basic,Basic1,5,mimic,흉내 내다
절대수능-map,Basic,Basic1,5,prove,"입증하다, 증명하다"
절대수능-map,Basic,Basic1,5,contact,접촉
절대수능-map,Basic,Basic1,5,tribe,부족
절대수능-map,Basic,Basic1,6,constantly,"끊임없이, 거듭"
절대수능-map,Basic,Basic1,6,literacy,글을 읽고 쓸 줄 아는 능력
절대수능-map,Basic,Basic1,6,passionate,열정적인
절대수능-map,Basic,Basic1,6,seal,가두다
절대수능-map,Basic,Basic1,6,surface,표면
